,index,lat,long,date,time
171,3689,37.40303995,-121.96968170505542,2019-09-22,16:25
172,3641,41.5060559,-81.69971184525946,2019-09-22,20:20
173,1991,27.97597925,-82.50421799673616,2019-09-22,16:05
174,3586,47.5953459,-122.33164431196111,2019-09-22,16:25
175,799,39.04894045,-94.48300340048719,2019-09-22,13:00
176,3763,42.7737131,-78.78690321060253,2019-09-22,13:00
177,593,44.500988500000005,-88.06102055468037,2019-09-22,13:00
178,2197,42.091252600000004,-71.2644646105907,2019-09-22,13:00
179,3877,30.3257534,-81.6449938,2019-09-19,20:20
180,3392,40.81350705,-74.07434417766939,2019-09-16,20:15
181,1644,38.90768745,-76.8644868591675,2019-09-15,13:00
182,3826,25.95790315,-80.23884973967523,2019-09-15,13:00
183,3391,40.81350705,-74.07434417766939,2019-09-15,13:00
184,2549,39.2779664,-76.62380930835468,2019-09-15,13:00
185,1836,40.44671645,-80.01575493349428,2019-09-15,13:00
186,3866,33.755396250000004,-84.40081568080012,2019-09-15,20:20
187,3884,37.7539702,-122.1972051,2019-09-15,16:05
188,268,39.0954645,-84.5160488350198,2019-09-15,13:00
189,592,44.500988500000005,-88.06102055468037,2019-09-15,13:00
190,3890,39.743952,-105.01922281236835,2019-09-15,16:25
191,3731,36.16649655,-86.77126444208471,2019-09-15,13:00
192,3795,34.0139923,-118.28802864848308,2019-09-15,16:25
193,2684,35.2257363,-80.85388172071353,2019-09-12,20:20
194,3883,37.7539702,-122.1972051,2019-09-09,22:20
195,2683,35.2257363,-80.85388172071353,2019-09-08,13:00
196,2407,39.9009099,-75.16748915605905,2019-09-08,13:00
197,3585,47.5953459,-122.33164431196111,2019-09-08,16:05
198,2196,42.091252600000004,-71.2644646105907,2019-09-08,20:20
199,3854,41.8845767,-87.651809,2019-09-08,16:05
200,3825,25.95790315,-80.23884973967523,2019-09-08,13:00
201,3876,30.3257534,-81.6449938,2019-09-08,13:00
202,3640,41.5060559,-81.69971184525946,2019-09-08,13:00
203,3390,40.81350705,-74.07434417766939,2019-09-08,13:00
204,1990,27.97597925,-82.50421799673616,2019-09-08,16:25
205,1375,41.86245145,-87.61671514704074,2019-09-05,20:20
206,798,39.04894045,-94.48300340048719,2019-01-20,18:40
207,2195,42.091252600000004,-71.2644646105907,2019-01-13,13:05
208,797,39.04894045,-94.48300340048719,2019-01-12,16:35
209,3794,34.0139923,-118.28802864848308,2019-01-12,20:15
210,2548,39.2779664,-76.62380930835468,2019-01-06,13:05
211,1374,41.86245145,-87.61671514704074,2019-01-06,16:40
212,3584,47.5953459,-122.33164431196111,2018-12-30,16:25
213,2194,42.091252600000004,-71.2644646105907,2018-12-30,13:00
214,2547,39.2779664,-76.62380930835468,2018-12-30,16:25
215,3762,42.7737131,-78.78690321060253,2018-12-30,13:00
216,3389,40.81350705,-74.07434417766939,2018-12-30,13:00
217,3476,39.743952,-105.01922281236835,2018-12-30,16:25
218,796,39.04894045,-94.48300340048719,2018-12-30,16:25
219,1989,27.97597925,-82.50421799673616,2018-12-30,13:00
220,3793,34.0139923,-118.28802864848308,2018-12-30,16:25
221,1835,40.44671645,-80.01575493349428,2018-12-30,16:25
222,1643,38.90768745,-76.8644868591675,2018-12-30,16:25
223,3730,36.16649655,-86.77126444208471,2018-12-30,20:20
224,591,44.500988500000005,-88.06102055468037,2018-12-30,13:00
225,3112,37.751675000000006,-122.19937132239198,2018-12-24,20:15
226,3824,25.95790315,-80.23884973967523,2018-12-23,13:00
227,2193,42.091252600000004,-71.2644646105907,2018-12-23,13:00
228,3388,40.81350705,-74.07434417766939,2018-12-23,13:00
229,3639,41.5060559,-81.69971184525946,2018-12-23,13:00
230,2406,39.9009099,-75.16748915605905,2018-12-23,13:00
231,3688,37.40303995,-121.96968170505542,2018-12-23,16:05
232,3583,47.5953459,-122.33164431196111,2018-12-23,20:20
233,2682,35.2257363,-80.85388172071353,2018-12-23,13:00
234,3853,41.8845767,-87.651809,2018-12-22,20:20
235,3729,36.16649655,-86.77126444208471,2018-12-22,16:30
236,2681,35.2257363,-80.85388172071353,2018-12-17,20:15
237,2546,39.2779664,-76.62380930835468,2018-12-16,13:00
238,3687,37.40303995,-121.96968170505542,2018-12-16,16:05
239,1834,40.44671645,-80.01575493349428,2018-12-16,16:25
240,267,39.0954645,-84.5160488350198,2018-12-16,13:00
241,3792,34.0139923,-118.28802864848308,2018-12-16,20:20
242,1373,41.86245145,-87.61671514704074,2018-12-16,13:00
243,3875,30.3257534,-81.6449938,2018-12-16,13:00
244,3387,40.81350705,-74.07434417766939,2018-12-16,13:00
245,3761,42.7737131,-78.78690321060253,2018-12-16,13:00
246,3386,40.81350705,-74.07434417766939,2018-12-15,16:30
247,3475,39.743952,-105.01922281236835,2018-12-15,20:20
248,795,39.04894045,-94.48300340048719,2018-12-13,20:20
249,3582,47.5953459,-122.33164431196111,2018-12-10,20:15
250,3686,37.40303995,-121.96968170505542,2018-12-09,16:05
251,590,44.500988500000005,-88.06102055468037,2018-12-09,13:00
252,3760,42.7737131,-78.78690321060253,2018-12-09,13:00
253,3823,25.95790315,-80.23884973967523,2018-12-09,13:00
254,1642,38.90768745,-76.8644868591675,2018-12-09,13:00
255,1988,27.97597925,-82.50421799673616,2018-12-09,13:00
256,1372,41.86245145,-87.61671514704074,2018-12-09,20:20
257,3111,37.751675000000006,-122.19937132239198,2018-12-09,16:25
258,794,39.04894045,-94.48300340048719,2018-12-09,13:00
259,3638,41.5060559,-81.69971184525946,2018-12-09,13:00
260,3852,41.8845767,-87.651809,2018-12-09,16:05
261,3728,36.16649655,-86.77126444208471,2018-12-06,20:20
262,2405,39.9009099,-75.16748915605905,2018-12-03,20:15
263,3110,37.751675000000006,-122.19937132239198,2018-12-02,16:05
264,1833,40.44671645,-80.01575493349428,2018-12-02,20:20
265,3865,33.755396250000004,-84.40081568080012,2018-12-02,13:00
266,3581,47.5953459,-122.33164431196111,2018-12-02,16:25
267,266,39.0954645,-84.5160488350198,2018-12-02,13:00
268,589,44.500988500000005,-88.06102055468037,2018-12-02,13:00
269,3822,25.95790315,-80.23884973967523,2018-12-02,13:00
270,1987,27.97597925,-82.50421799673616,2018-12-02,13:00
271,3727,36.16649655,-86.77126444208471,2018-12-02,16:05
272,3874,30.3257534,-81.6449938,2018-12-02,13:00
273,3385,40.81350705,-74.07434417766939,2018-12-02,13:00
274,2192,42.091252600000004,-71.2644646105907,2018-12-02,16:25
275,3851,41.8845767,-87.651809,2018-11-25,16:05
276,3384,40.81350705,-74.07434417766939,2018-11-25,13:00
277,265,39.0954645,-84.5160488350198,2018-11-25,13:00
278,2404,39.9009099,-75.16748915605905,2018-11-25,13:00
279,3474,39.743952,-105.01922281236835,2018-11-25,16:25
280,2545,39.2779664,-76.62380930835468,2018-11-25,13:00
281,1986,27.97597925,-82.50421799673616,2018-11-25,13:00
282,3759,42.7737131,-78.78690321060253,2018-11-25,13:00
283,2680,35.2257363,-80.85388172071353,2018-11-25,13:00
284,3791,34.0139923,-118.28802864848308,2018-11-19,20:15
285,3864,33.755396250000004,-84.40081568080012,2018-11-18,13:00
286,3873,30.3257534,-81.6449938,2018-11-18,13:00
287,3850,41.8845767,-87.651809,2018-11-18,16:05
288,3383,40.81350705,-74.07434417766939,2018-11-18,13:00
289,1641,38.90768745,-76.8644868591675,2018-11-18,13:00
290,2544,39.2779664,-76.62380930835468,2018-11-18,13:00
291,1371,41.86245145,-87.61671514704074,2018-11-18,20:20
292,3580,47.5953459,-122.33164431196111,2018-11-15,20:20
293,3685,37.40303995,-121.96968170505542,2018-11-12,20:15
294,2403,39.9009099,-75.16748915605905,2018-11-11,20:20
295,1370,41.86245145,-87.61671514704074,2018-11-11,13:00
296,588,44.500988500000005,-88.06102055468037,2018-11-11,16:25
297,3637,41.5060559,-81.69971184525946,2018-11-11,13:00
298,3726,36.16649655,-86.77126444208471,2018-11-11,13:00
299,3109,37.751675000000006,-122.19937132239198,2018-11-11,16:05
300,793,39.04894045,-94.48300340048719,2018-11-11,13:00
301,3382,40.81350705,-74.07434417766939,2018-11-11,13:00
302,264,39.0954645,-84.5160488350198,2018-11-11,13:00
303,3790,34.0139923,-118.28802864848308,2018-11-11,16:25
304,1985,27.97597925,-82.50421799673616,2018-11-11,13:00
305,1832,40.44671645,-80.01575493349428,2018-11-08,20:20
306,3821,25.95790315,-80.23884973967523,2018-11-04,13:00
307,3636,41.5060559,-81.69971184525946,2018-11-04,13:00
308,2543,39.2779664,-76.62380930835468,2018-11-04,13:00
309,3473,39.743952,-105.01922281236835,2018-11-04,16:05
310,3758,42.7737131,-78.78690321060253,2018-11-04,13:00
311,2679,35.2257363,-80.85388172071353,2018-11-04,13:00
312,3579,47.5953459,-122.33164431196111,2018-11-04,16:05
313,1640,38.90768745,-76.8644868591675,2018-11-04,13:00
314,2191,42.091252600000004,-71.2644646105907,2018-11-04,20:20
315,3684,37.40303995,-121.96968170505542,2018-11-01,20:20
316,3757,42.7737131,-78.78690321060253,2018-10-29,20:15
317,1369,41.86245145,-87.61671514704074,2018-10-28,13:00
318,3381,40.81350705,-74.07434417766939,2018-10-28,13:00
319,263,39.0954645,-84.5160488350198,2018-10-28,13:00
320,792,39.04894045,-94.48300340048719,2018-10-28,13:00
321,3789,34.0139923,-118.28802864848308,2018-10-28,16:25
322,3108,37.751675000000006,-122.19937132239198,2018-10-28,16:05
323,1831,40.44671645,-80.01575493349428,2018-10-28,13:00
324,2989,51.555983850000004,-0.2795789182814012,2018-10-28,21:30
325,2678,35.2257363,-80.85388172071353,2018-10-28,13:00
326,3863,33.755396250000004,-84.40081568080012,2018-10-22,20:15
327,1368,41.86245145,-87.61671514704074,2018-10-21,13:00
328,3872,30.3257534,-81.6449938,2018-10-21,13:00
329,2988,51.555983850000004,-0.2795789182814012,2018-10-21,21:30
330,1984,27.97597925,-82.50421799673616,2018-10-21,13:00
331,791,39.04894045,-94.48300340048719,2018-10-21,20:20
332,1639,38.90768745,-76.8644868591675,2018-10-21,16:25
333,3380,40.81350705,-74.07434417766939,2018-10-21,13:00
334,3683,37.40303995,-121.96968170505542,2018-10-21,16:25
335,2402,39.9009099,-75.16748915605905,2018-10-21,13:00
336,2542,39.2779664,-76.62380930835468,2018-10-21,16:05
337,3820,25.95790315,-80.23884973967523,2018-10-21,13:00
338,587,44.500988500000005,-88.06102055468037,2018-10-15,20:15
